nume,pret,positive,negative,total_reviews
Fallout 3: Game of the Year Edition,19.99,41078,9515,50593
Pathfinder: Wrath of the Righteous - Enhanced Edition,19.99,32303,6193,38496
Pathfinder: Kingmaker — Enhanced Plus Edition,19.99,26001,7420,33421
FINAL FANTASY XV WINDOWS EDITION,34.99,44632,9056,53688
Deus Ex: Mankind Divided,29.99,31037,9813,40850
Deus Ex: Human Revolution - Director's Cut,19.99,25909,2216,28125
For The King,19.99,36581,4906,41487
RIFT,0.0,8347,2896,11243
Dragon's Dogma 2,39.99,65154,41785,106939
Marvel's Midnight Suns,8.99,17871,4003,21874
BioShock 2 Remastered,19.99,18860,7762,26622
No Rest for the Wicked,39.99,39563,10970,50533
Monster Hunter Stories 2: Wings of Ruin,14.79,13186,2801,15987
Borderlands Game of the Year,29.99,28944,3579,32523
RuneScape ,0.0,20941,4397,25338
Shadowrun Returns,14.99,11833,1549,13382
Dead Frontier 2,0.0,18844,7957,26801
SoulWorker - Anime Action MMO,0.0,11048,2901,13949
Neon Abyss,7.87,19957,3183,23140
Tribes of Midgard,19.99,17197,5278,22475
OUTRIDERS,19.99,40267,20201,60468
CODE VEIN,59.99,48327,8991,57318
"Warhammer 40,000: Chaos Gate - Daemonhunters",11.24,10162,2945,13107
To the Moon,9.99,77246,3015,80261
Vindictus,0.0,5300,2563,7863
The Elder Scrolls IV: Oblivion Game of the Year Edition (2009),14.99,48307,2354,50661
Persona 5 Royal,59.99,99657,3487,103144
Knight Online,0.0,5482,5404,10886
ENDLESS Legend,29.99,15589,3042,18631
South Park: The Fractured But Whole,29.99,24764,4520,29284
Stories: The Path of Destinies,14.99,5754,767,6521
STAR WARS Knights of the Old Republic,3.99,28928,2810,31738
Heart of a Warrior,10.99,0,1,1
God of War Ragnarök,59.99,27127,4261,31388
Tiny Tina's Wonderlands,29.99,15933,6053,21986
Gothic 3,19.99,9244,2120,11364
Pillars of Eternity,29.99,21751,2899,24650
Darksiders III,39.99,11626,3571,15197
Legends of IdleOn - Idle MMO,0.0,17310,4406,21716
Dark Messiah of Might & Magic,9.99,9813,951,10764
Baldur's Gate: Enhanced Edition,19.99,15123,1275,16398
Blade and Sorcery,29.99,55566,1919,57485
Fallen Earth Free2Play,0.0,4484,3047,7531
Hero Siege,7.99,29813,13699,43512
Yakuza 0,10.99,70292,3189,73481
Assassin's Creed Origins,59.99,97301,16195,113496
The Elder Scrolls III: Morrowind Game of the Year Edition,14.99,25172,1212,26384
Riders of Icarus,0.0,7083,3643,10726
Sabre Team,6.99,2,2,4
Digimon Masters Online,0.0,5461,2664,8125
Old School RuneScape,0.0,15244,3091,18335
